country,break_year,n_docs,status,error_message,raw_output
South Africa,2001,1,ok,,"break_supported: 0
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 2
summary: [Durban water private sector partnerships for service delivery]"
South Africa,2002,3,ok,,"break_supported: 0
break_type: 
duration: 
climate_related: 0
confidence: 5
summary: Documents cover survey methodology, dam safety, and water pumps."
South Africa,2003,4,ok,,"break_supported: 1
break_type: policy_change, commodity_or_trade
duration: long_term
climate_related: 0
confidence: 3
summary: Trade standards, export success, tourism development, and pension policy."
South Africa,2007,4,ok,,"break_supported: 0
break_type: -99
duration: -99
climate_related: 0
confidence: 2
summary: Documents describe investment climate assessment but no structural break."
South Africa,2008,4,ok,,"break_supported: 1
break_type: financial_crisis, external_shock
duration: long_term
climate_related: 0
confidence: 5
summary: Global recession and food crisis impacted trade and economy."
South Africa,2009,4,ok,,"break_supported: 1
break_type: financial_crisis, external_shock
duration: long_term
climate_related: 0
confidence: 5
summary: Global recession and food crisis impacts trade performance in 2009."
South Africa,2010,4,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 3
summary: Tax compliance reforms and systemic service delivery failures identified."
South Africa,2011,4,ok,,"break_supported: 1
break_type: policy_change, external_shock
duration: long_term
climate_related: 0
confidence: 3
summary: Food price shocks and national housing policy upgrading."
South Africa,2012,4,ok,,"break_supported: 0
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 2
summary: [Governance and M&E reforms initiated in 2009-2010, not 2012]"
South Africa,2020,4,ok,,"break_supported: 1
break_type: external_shock
duration: within 1 year
climate_related: 0
confidence: 5
summary: COVID-19 lockdowns caused firm losses, unemployment, and output decline."
South Africa,2021,4,ok,,"break_supported: 0
break_type: policy_change
duration: within 1 year
climate_related: 0
confidence: 1
summary: Documents mention labor evaluations and municipal bonds; no break."
South Africa,2022,4,ok,,"break_supported: 0
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 3
summary: [Jobless recovery, record poverty, and ongoing structural reforms]"
