country,break_year,n_docs,status,error_message,raw_output
Romania,2007,1,ok,,"break_supported: 0
break_type: 
duration: 
climate_related: 0
confidence: 2
summary: [Routine project status report; no evidence of structural break.]"
Romania,2008,4,ok,,"break_supported: 1
break_type: financial_crisis, external_shock
duration: long_term
climate_related: 0
confidence: 5
summary: Global recession and food crisis impacts and trade responses."
Romania,2009,4,ok,,"break_supported: 1
break_type: financial_crisis, external_shock
duration: long_term
climate_related: 0
confidence: 5
summary: [Global recession and food crisis impact trade and economy]"
Romania,2010,2,ok,,"break_supported: 0
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 1
summary: [Routine monitoring of business regulations and project implementation status.]"
Romania,2011,2,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 4
summary: [Adopted income-based heating subsidy reform, reduced fiscal costs]"
Romania,2012,3,ok,,"break_supported: 0
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 5
summary: Documents discuss project completion and workshops, not structural breaks."
Romania,2013,4,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 3
summary: [New growth model shifting from consumption to productivity-led reforms.]"
Romania,2014,4,ok,,"break_supported: 1
break_type: policy_change
duration: long_term
climate_related: 0
confidence: 3
summary: [Start of 2014-2020 EU programming cycle and institutional reforms]"
Romania,2020,4,ok,,"break_supported: 0
break_type: -99
duration: -99
climate_related: 0
confidence: 5
summary: No textual evidence for a 2020 structural break."
Romania,2021,4,ok,,"break_supported: 0
break_type: 
duration: 
climate_related: 0
confidence: 4
summary: State aid evaluation and routine institutional capacity building reports."
Romania,2022,4,ok,,"break_supported: 1
break_type: external_shock, commodity_or_trade
duration: 2 year
climate_related: 0
confidence: 4
summary: Ukraine crisis and inflation cause 2022 economic slowdown risks."
